ID,Name,Age,Email,Country,Date_Joined,Subscription_Status,Purchase_Amount,Last_Login,Feedback_Rating,Preferred_Language,Referral_Code
1,Liam Wong,,liam.72@demo.com,Egypt,2025-06-27,Active,,2025-12-22,,German,REF789
2,Emily Davis,,emily.66@example.com,Egypt,2025-09-14,Inactive,140.93,2025-04-12,,English,REF202
3,Tom Brown,44,tom.31@demo.com,USA,2023-07-09,Active,140.28,2024-10-05,5,English,NA
4,Jane Smith,58,jane.62@test.com,USA,2025-01-23,Active,,2024-02-28,,English,NA
5,John Doe,,john.64@test.com,Mexico,2024-09-24,Inactive,,2025-04-15,,French,REF101
6,Tom Brown,58,tom.50@test.com,Egypt,2022-12-23,Inactive,,2024-02-23,4.2,Arabic,REF789
7,Tom Brown,50,tom.48@demo.com,USA,2023-04-19,Inactive,,2025-12-02,3.9,Arabic,REF303
8,Liam Wong,46,liam.99@example.com,UK,2025-10-27,Inactive,119.9,2024-01-02,4,English,REF123
9,Emily Davis,55,emily.32@test.com,Canada,2025-12-17,Active,,2025-02-23,4,Mandarin,REF202
10,John Doe,57,john.7@example.com,USA,2023-08-17,Inactive,,2024-10-06,,Spanish,REF456
11,Emily Davis,,emily.48@demo.com,Mexico,2025-12-10,Inactive,,2024-11-15,,Mandarin,REF789
12,John Doe,42,john.73@demo.com,Germany,2023-11-07,Inactive,,2025-12-01,,French,REF123
13,Ahmed Ali,55,ahmed.81@demo.com,Australia,2022-01-10,Inactive,51.24,2025-07-12,,Arabic,NA
14,Liam Wong,36,liam.4@demo.com,Mexico,2023-10-24,Active,,2025-03-08,,Spanish,REF202
15,Maria Lopez,,maria.3@demo.com,UK,2024-07-01,Active,185.02,2024-08-26,4.1,German,REF303
16,Sophia Chen,,sophia.71@example.com,USA,2022-11-25,Active,,2024-03-16,3.5,English,NA
17,John Doe,,john.37@test.com,Canada,2024-03-28,Active,,2024-10-14,4.6,French,REF101
18,Jane Smith,,jane.10@test.com,China,2024-11-04,Inactive,,2025-12-09,,French,NA
19,Tom Brown,30,tom.13@demo.com,Germany,2023-08-12,Active,,2025-10-19,4.7,Arabic,REF101
20,Tom Brown,,tom.48@example.com,China,2025-08-24,Inactive,,2025-11-28,,French,REF202
21,Emily Davis,,emily.11@demo.com,UK,2024-08-19,Active,,2024-05-18,,Mandarin,REF202
22,Maria Lopez,38,maria.47@example.com,Australia,2025-09-10,Active,76.79,2025-01-11,3.8,Arabic,REF456
23,Maria Lopez,,maria.73@example.com,Egypt,2023-12-16,Active,,2024-02-01,4.7,Arabic,REF202
24,Tom Brown,20,tom.28@demo.com,Canada,2023-02-14,Inactive,56.46,2024-03-28,,Spanish,NA
25,John Doe,45,john.65@example.com,China,2024-09-04,Inactive,,2024-07-21,3.7,German,REF303
26,Tom Brown,29,tom.96@demo.com,Canada,2025-11-15,Inactive,128.78,2024-10-01,4,English,REF303
27,Maria Lopez,,maria.26@demo.com,USA,2025-04-17,Inactive,,2025-07-14,,Arabic,REF456
28,Liam Wong,,liam.62@example.com,Australia,2024-04-19,Active,,2024-11-23,,Mandarin,NA
29,Sophia Chen,,sophia.14@demo.com,China,2025-08-23,Inactive,108.57,2024-02-03,,German,REF123
30,John Doe,56,john.81@example.com,Egypt,2023-06-19,Inactive,,2024-12-26,,French,REF123
31,John Doe,,john.77@test.com,China,2022-06-24,Inactive,127.1,2024-01-13,4.3,Mandarin,REF123
32,Maria Lopez,30,maria.77@test.com,Germany,2023-12-19,Inactive,116.1,2024-01-25,,Mandarin,REF456
33,Tom Brown,60,tom.5@test.com,Mexico,2025-03-05,Inactive,95.38,2025-04-26,,German,REF456
34,Sophia Chen,44,sophia.25@test.com,Egypt,2023-06-19,Inactive,,2025-09-19,4.2,German,REF101
35,Tom Brown,52,tom.6@example.com,Mexico,2023-12-02,Inactive,114.77,2025-07-06,,Mandarin,REF789
36,Ahmed Ali,,ahmed.20@test.com,Mexico,2023-11-06,Inactive,,2025-10-25,,Mandarin,REF303
37,Sophia Chen,29,sophia.1@test.com,China,2024-04-01,Active,,2024-02-18,4,German,NA
38,Liam Wong,38,liam.70@test.com,China,2024-12-13,Inactive,142.04,2025-08-03,,Spanish,REF101
39,Emily Davis,48,emily.57@demo.com,Canada,2022-06-16,Inactive,,2025-02-15,4.1,Spanish,REF303
40,Ahmed Ali,,ahmed.5@example.com,Egypt,2022-08-13,Inactive,107.65,2024-11-09,4.5,English,REF789
41,John Doe,,john.52@test.com,Mexico,2023-01-21,Inactive,,2025-02-21,,Arabic,REF123
42,Tom Brown,,tom.32@test.com,China,2025-07-28,Active,143.08,2024-06-21,4.2,Spanish,REF789
43,John Doe,26,john.15@example.com,Egypt,2024-07-06,Inactive,,2024-03-03,3.5,Spanish,REF303
44,John Doe,,john.46@test.com,UK,2023-10-02,Active,,2024-08-26,4.3,English,REF456
45,Sophia Chen,,sophia.11@example.com,Mexico,2023-07-01,Active,,2025-05-21,,French,REF101
46,Emily Davis,56,emily.91@demo.com,Germany,2025-12-13,Active,179.37,2025-03-21,4.4,Mandarin,REF789
47,Jane Smith,,jane.45@demo.com,Mexico,2025-03-23,Active,,2025-04-24,,Mandarin,REF101
48,Emily Davis,24,emily.23@demo.com,Germany,2025-04-19,Active,105.22,2025-05-27,,Arabic,REF303
49,Emily Davis,,emily.23@example.com,Canada,2024-07-16,Active,149.25,2025-04-14,3.9,Arabic,REF456
50,Emily Davis,44,emily.33@example.com,Canada,2023-12-19,Inactive,,2025-07-08,4.8,Arabic,REF123
51,Ahmed Ali,,ahmed.59@example.com,Germany,2023-11-06,Inactive,101,2024-04-15,4.1,Mandarin,REF202
52,Ahmed Ali,,ahmed.43@test.com,China,2025-03-13,Active,175.66,2025-12-07,3.6,Arabic,REF202
53,Sophia Chen,22,sophia.81@example.com,UK,2022-06-22,Active,123.03,2025-08-12,,Mandarin,REF123
54,Liam Wong,,liam.75@example.com,Germany,2025-04-10,Inactive,,2024-04-28,3.6,French,REF101
55,Ahmed Ali,,ahmed.87@test.com,China,2024-04-14,Inactive,120.08,2024-01-27,,English,REF123
56,Sophia Chen,46,sophia.22@demo.com,China,2023-02-10,Inactive,139.08,2025-04-23,4.6,English,REF789
57,Liam Wong,,liam.14@example.com,USA,2023-03-09,Active,154.12,2025-12-16,,French,REF101
58,Emily Davis,,emily.18@test.com,Germany,2025-02-03,Inactive,,2025-08-08,,Arabic,REF202
59,Tom Brown,,tom.64@example.com,Australia,2024-01-02,Active,189.82,2024-03-09,,French,NA
60,Emily Davis,57,emily.69@example.com,USA,2023-04-12,Inactive,93.73,2025-01-17,4.3,French,REF789
61,Jane Smith,,jane.31@test.com,Mexico,2023-10-07,Inactive,,2025-07-15,,German,REF101
62,Tom Brown,53,tom.39@test.com,Egypt,2024-11-27,Active,189.21,2025-06-24,,German,REF202
63,Tom Brown,50,tom.22@example.com,UK,2025-11-02,Active,123.6,2024-06-13,,French,REF101
64,Maria Lopez,48,maria.6@example.com,China,2025-02-19,Active,,2025-06-03,,Mandarin,REF456
65,Liam Wong,,liam.92@test.com,Germany,2025-08-16,Inactive,69.88,2025-08-16,4.4,French,REF456
66,Ahmed Ali,,ahmed.79@demo.com,USA,2022-05-02,Inactive,,2024-06-22,3.9,Mandarin,NA
67,Jane Smith,56,jane.79@example.com,China,2022-09-15,Active,,2025-11-16,,German,REF101
68,Emily Davis,,emily.55@test.com,UK,2024-06-11,Active,146.78,2024-06-21,3.9,Arabic,REF303
69,Sophia Chen,24,sophia.52@example.com,Germany,2025-07-06,Inactive,185.5,2024-10-28,4.1,Mandarin,REF123
70,Emily Davis,59,emily.8@example.com,Canada,2024-02-13,Inactive,,2024-12-18,,English,REF789
71,Liam Wong,,liam.5@example.com,China,2024-05-18,Active,156.28,2024-10-25,,Spanish,NA
72,Ahmed Ali,,ahmed.65@example.com,USA,2022-10-20,Active,183.08,2024-02-21,,French,REF456
73,Liam Wong,33,liam.9@test.com,China,2022-01-23,Active,82.95,2024-07-08,4.9,English,REF789
74,John Doe,,john.10@test.com,Mexico,2024-05-16,Inactive,127.82,2025-06-04,,French,REF789
75,Emily Davis,23,emily.64@example.com,UK,2024-03-12,Active,105.27,2024-03-22,3.7,Arabic,REF123
76,Emily Davis,,emily.100@demo.com,Canada,2022-07-12,Inactive,,2025-11-15,3.9,German,REF303
77,John Doe,43,john.67@demo.com,Australia,2024-04-10,Active,138.57,2025-06-13,,English,REF303
78,Maria Lopez,,maria.65@example.com,USA,2025-09-03,Inactive,,2024-01-22,4.2,English,NA
79,John Doe,,john.76@demo.com,Egypt,2024-09-22,Inactive,,2024-04-05,,German,REF123
80,Maria Lopez,60,maria.42@test.com,China,2023-01-25,Inactive,126.56,2025-07-08,4.8,German,REF202
81,Maria Lopez,46,maria.28@test.com,Mexico,2025-12-01,Active,124.22,2024-10-14,4.4,Mandarin,REF303
82,John Doe,,john.40@test.com,Mexico,2025-12-20,Active,136.52,2024-07-06,,English,REF101
83,Ahmed Ali,36,ahmed.70@example.com,Australia,2025-04-06,Active,,2025-11-25,,French,REF101
84,Emily Davis,59,emily.50@test.com,USA,2022-02-04,Inactive,94.34,2024-11-17,,English,REF101
85,Sophia Chen,,sophia.82@test.com,USA,2025-01-01,Active,180.48,2025-07-16,3.8,English,REF789
86,Maria Lopez,47,maria.94@demo.com,USA,2024-07-22,Active,,2025-06-04,4,English,REF303
87,Sophia Chen,,sophia.14@test.com,Mexico,2024-07-03,Active,145.94,2025-10-10,,German,NA
88,Sophia Chen,,sophia.27@test.com,UK,2025-04-13,Inactive,,2025-02-16,,German,REF303
89,Sophia Chen,,sophia.52@test.com,China,2024-07-20,Inactive,114.22,2025-09-04,,German,REF123
90,Sophia Chen,,sophia.18@example.com,Canada,2025-06-02,Inactive,,2024-11-05,4,Spanish,NA
91,Liam Wong,36,liam.90@test.com,UK,2023-11-20,Inactive,,2024-07-03,,French,REF789
92,Maria Lopez,,maria.44@example.com,Germany,2024-02-09,Inactive,,2024-06-20,4.2,Spanish,REF101
93,Tom Brown,,tom.40@test.com,Canada,2023-10-17,Inactive,,2025-02-26,,English,REF303
94,Ahmed Ali,,ahmed.40@demo.com,Australia,2024-10-26,Active,,2024-09-23,3.8,French,REF202
95,Jane Smith,32,jane.64@test.com,China,2024-10-20,Inactive,150.99,2025-02-03,,Mandarin,REF456
